Year,File,n_categories,Unfold call idx,Unfold key,Unfold event type,Unfold object type,Unfold dt (s),Read time (s),Drilldown time (s)
2016,./data/BPIC16.jsonocel,9,9,"(Session,9)",taken,Session,22.2642504349933,655.5415457430063,59.835622897953726
2017,./data/BPIC17.jsonocel,9,1,"(Offer,1)",O_Create Offer,Offer,1.3179741780040786,48.716618654027116,2.929230462992564
2017,./data/BPIC17.jsonocel,9,2,"(Offer,2)",O_Create Offer,Offer,1.6043433690210804,48.716618654027116,2.929230462992564
2017,./data/BPIC17.jsonocel,9,3,"(Offer,3)",O_Create Offer,Offer,1.6388076430303045,48.716618654027116,2.929230462992564
2017,./data/BPIC17.jsonocel,9,4,"(Offer,4)",O_Create Offer,Offer,1.591598024009727,48.716618654027116,2.929230462992564
2017,./data/BPIC17.jsonocel,9,5,"(Offer,5)",O_Create Offer,Offer,1.6393609829829074,48.716618654027116,2.929230462992564
2017,./data/BPIC17.jsonocel,9,6,"(Offer,6)",O_Create Offer,Offer,1.595591947028879,48.716618654027116,2.929230462992564
2017,./data/BPIC17.jsonocel,9,7,"(Offer,7)",O_Create Offer,Offer,1.5940791000030003,48.716618654027116,2.929230462992564
2017,./data/BPIC17.jsonocel,9,8,"(Offer,8)",O_Create Offer,Offer,1.6624671060126275,48.716618654027116,2.929230462992564
2017,./data/BPIC17.jsonocel,9,9,"(Offer,9)",O_Create Offer,Offer,1.5254802120034583,48.716618654027116,2.929230462992564
2019,./data/BPIC19.jsonocel,9,1,"(POItem,1)",Record Goods Receipt,POItem,2.5118554389337078,81.78721437096829,8.623360401019454
2019,./data/BPIC19.jsonocel,9,2,"(POItem,2)",Record Goods Receipt,POItem,2.855930701014586,81.78721437096829,8.623360401019454
2019,./data/BPIC19.jsonocel,9,3,"(POItem,3)",Record Goods Receipt,POItem,2.9049870539456606,81.78721437096829,8.623360401019454
2019,./data/BPIC19.jsonocel,9,4,"(POItem,4)",Record Goods Receipt,POItem,2.881712063914165,81.78721437096829,8.623360401019454
2019,./data/BPIC19.jsonocel,9,5,"(POItem,5)",Record Goods Receipt,POItem,2.918484183959663,81.78721437096829,8.623360401019454
2019,./data/BPIC19.jsonocel,9,6,"(POItem,6)",Record Goods Receipt,POItem,2.893774001975544,81.78721437096829,8.623360401019454
2019,./data/BPIC19.jsonocel,9,7,"(POItem,7)",Record Goods Receipt,POItem,2.8147792760282755,81.78721437096829,8.623360401019454
2019,./data/BPIC19.jsonocel,9,8,"(POItem,8)",Record Goods Receipt,POItem,2.7850463070208207,81.78721437096829,8.623360401019454
2019,./data/BPIC19.jsonocel,9,9,"(POItem,9)",Record Goods Receipt,POItem,3.0314289880916476,81.78721437096829,8.623360401019454
2014,./data/BPIC14.jsonocel,10,1,"(Interaction,1)",Assignment,Interaction,1.2789138898951933,35.07023411092814,3.5981536200270057
2014,./data/BPIC14.jsonocel,10,2,"(Interaction,2)",Assignment,Interaction,1.423680691048503,35.07023411092814,3.5981536200270057
2014,./data/BPIC14.jsonocel,10,3,"(Interaction,3)",Assignment,Interaction,1.38368398998864,35.07023411092814,3.5981536200270057
2014,./data/BPIC14.jsonocel,10,4,"(Interaction,4)",Assignment,Interaction,1.3957755779847503,35.07023411092814,3.5981536200270057
2014,./data/BPIC14.jsonocel,10,5,"(Interaction,5)",Assignment,Interaction,1.1293785949237645,35.07023411092814,3.5981536200270057
2014,./data/BPIC14.jsonocel,10,6,"(Interaction,6)",Assignment,Interaction,1.1392279790015891,35.07023411092814,3.5981536200270057
2014,./data/BPIC14.jsonocel,10,7,"(Interaction,7)",Assignment,Interaction,1.1331715360283852,35.07023411092814,3.5981536200270057
2014,./data/BPIC14.jsonocel,10,8,"(Interaction,8)",Assignment,Interaction,1.14203048706986,35.07023411092814,3.5981536200270057
2014,./data/BPIC14.jsonocel,10,9,"(Interaction,9)",Assignment,Interaction,1.1665389819536358,35.07023411092814,3.5981536200270057
